input,probability,response__possible_conditions__001,response__possible_conditions__002,response__possible_conditions__003,response__possible_conditions__004,response__urgency,response__common_age_groups,response__immediate_actions,response__precautions,response__potential_treatments__001,response__potential_treatments__002,response__potential_treatments__003,response__potential_treatments__004,response__medications__001,response__medications__002,response__medications__003,response__medications__004,response__lifestyle_changes
I am having chest pain from morning what should I do,,Angina,Myocardial Infarction,Gastroesophageal Reflux,,Moderate to High - Seek medical attention promptly,"Adults over 40, but can occur at any age","Rest, take aspirin if available (unless allergic), call emergency services if pain is severe or lasts more than a few minutes","Monitor symptoms, avoid exertion, prepare to describe pain characteristics to medical professionals",EKG,Blood tests,Stress test,Angiography,Nitroglycerin (for diagnosed angina),Aspirin,Beta-blockers,Statins,"Regular exercise, heart-healthy diet, stress management, quit smoking if applicable"
I have been experiencing shortness of breath lately,,Asthma,Chronic Obstructive Pulmonary Disease (COPD),Heart Failure,,Moderate - Consult a doctor within a few days,"Can affect all ages, more common in adults over 40","Use an inhaler if prescribed, practice deep breathing exercises","Avoid triggers like smoke or allergens, monitor oxygen levels if possible",Pulmonary function tests,Chest X-ray,Echocardiogram,,Bronchodilators,Inhaled corticosteroids,Diuretics (for heart-related causes),,"Quit smoking, improve air quality at home, regular exercise as tolerated"
"My heart sometimes skips a beat, is this normal",,Premature Ventricular Contractions,Atrial Fibrillation,Stress-induced Palpitations,,Low to Moderate - Schedule a check-up with your doctor,"Can occur at any age, more common in older adults","Practice relaxation techniques, avoid caffeine and alcohol",Keep a log of when palpitations occur and any associated activities,EKG,Holter monitor,Echocardiogram,,Beta-blockers,Calcium channel blockers,Antiarrhythmic drugs if necessary,,"Stress reduction, limit stimulants, maintain healthy sleep patterns"
I get dizzy when I stand up quickly,,Orthostatic Hypotension,Dehydration,Anemia,,"Low - Can be managed at home, but consult a doctor if persistent","More common in older adults, but can affect anyone","Sit or lie down when feeling dizzy, rise slowly from sitting or lying positions","Ensure adequate hydration, avoid sudden positional changes",Blood pressure checks,Blood tests,Tilt table test,,Fludrocortisone,Midodrine,Iron supplements (if anemic),,"Increase fluid intake, add more salt to diet if recommended by doctor, exercise regularly"
My ankles are swollen at the end of the day,,Edema,Venous Insufficiency,Heart Failure,,Low to Moderate - See a doctor if persistent or accompanied by other symptoms,More common in older adults and pregnant women,"Elevate legs, wear compression stockings if available","Avoid prolonged standing or sitting, reduce salt intake",Physical examination,Ultrasound of legs,Echocardiogram,,Diuretics,ACE inhibitors (if heart-related),Anticoagulants (if blood clots suspected),,"Regular exercise, maintain a healthy weight, avoid tight clothing around legs"
"I have high blood pressure, what should I do",,Hypertension,,,,Moderate - Requires ongoing management and regular check-ups,"Risk increases with age, common in adults over 40","Monitor blood pressure regularly, take prescribed medications","Limit salt intake, manage stress, avoid excessive alcohol",Regular blood pressure monitoring,Kidney function tests,Cholesterol screening,,ACE inhibitors,ARBs,Calcium channel blockers,Diuretics,"DASH diet, regular exercise, stress reduction, limit alcohol, quit smoking"
I feel a burning sensation in my chest after eating,,Gastroesophageal Reflux Disease (GERD),Heartburn,Hiatal Hernia,,"Low - Can usually be managed at home, see doctor if persistent","Can affect all ages, more common in adults","Take over-the-counter antacids, avoid lying down for 3 hours after meals","Avoid trigger foods, eat smaller meals, elevate head of bed",Endoscopy,pH monitoring,Barium swallow,,Proton pump inhibitors,H2 blockers,Antacids,,"Weight loss if overweight, avoid tight clothing, quit smoking, limit alcohol and caffeine"
I have pain and cramping in my legs when I walk,,Peripheral Artery Disease,Deep Vein Thrombosis,Chronic Venous Insufficiency,,Moderate - Consult a doctor for proper diagnosis,"More common in adults over 50, especially smokers and diabetics","Rest when pain occurs, elevate legs when resting","Avoid prolonged standing or sitting, quit smoking",Ankle-brachial index test,Doppler ultrasound,Angiography,,Cilostazol,Pentoxifylline,Aspirin,Statins,"Regular exercise (especially walking), quit smoking, manage diabetes and high cholesterol"
I feel tired all the time and have no energy,,Anemia,Hypothyroidism,Chronic Fatigue Syndrome,Depression,Low to Moderate - Schedule an appointment with your doctor,Can affect all ages,"Ensure adequate sleep, maintain a balanced diet","Avoid overexertion, monitor for other symptoms",Blood tests,Thyroid function tests,Sleep study,,Iron supplements (if anemic),Thyroid hormone replacement,Antidepressants if necessary,,"Regular exercise, stress management, improve sleep hygiene, balanced diet"
I have been losing weight without trying,,Hyperthyroidism,Diabetes,Cancer,Depression,Moderate to High - Consult a doctor soon for evaluation,"Can affect all ages, but more concerning in older adults","Keep a food diary, monitor weight regularly","Watch for other symptoms like fatigue, changes in appetite",Comprehensive blood tests,Thyroid function tests,Imaging studies if necessary,,"Depends on underlying cause - could include antithyroid drugs, diabetes medications",,,,"Ensure adequate nutrition, regular medical check-ups, stress management"
I'm always thirsty and urinating frequently,,Type 1 diabetes,Type 2 diabetes,Prediabetes,,Moderate - Should be evaluated within a few days,"All ages, but Type 2 is more common in adults over 45","Monitor fluid intake, avoid sugary drinks, schedule a doctor's appointment","Stay hydrated, avoid excessive sugar intake",Blood glucose test,Glycated hemoglobin (A1C) test,Oral glucose tolerance test,,Insulin (if Type 1),Metformin (if Type 2),Other oral diabetes medications,,"Balanced diet, regular exercise, weight management, blood sugar monitoring"
I've been losing weight without trying,,Type 1 diabetes,Type 2 diabetes (less common),Other metabolic disorders,,Moderate - Should be evaluated within a week,"More common in children and young adults for Type 1, adults for Type 2","Monitor food intake, keep a weight log, schedule a doctor's appointment","Maintain a balanced diet, avoid crash diets",Blood tests for glucose and ketones,Thyroid function tests,,,Insulin (if Type 1),Oral diabetes medications (if Type 2),,,"Balanced diet with adequate calories, regular meals, blood sugar monitoring"
I have blurry vision that comes and goes,,Diabetic retinopathy,Early diabetes,Other eye conditions,,Moderate - Should be evaluated within a week,"More common in adults, especially those with long-standing diabetes",Schedule an appointment with an eye doctor and primary care physician,"Avoid straining eyes, ensure adequate lighting when reading",Comprehensive eye exam,Blood glucose test,Retinal imaging,,Depends on underlying cause - may include eye drops or diabetes medications,,,,"Blood sugar management, regular eye exams, protective eyewear in bright conditions"
My cuts and bruises are slow to heal,0.45,Diabetes,Peripheral vascular disease,Immune system disorders,,Low to Moderate - Should be evaluated within a few weeks,More common in older adults and those with chronic health conditions,"Keep wounds clean and covered, monitor for signs of infection","Avoid further injury, practice good wound care",Blood glucose test,Wound culture if infected,Vascular studies,,Topical antibiotics for wounds,Diabetes medications if diagnosed,,,"Blood sugar management, proper nutrition, regular exercise, smoking cessation"
"I'm always hungry, even after eating",0.6,Type 1 or Type 2 diabetes,Hyperthyroidism,Other metabolic disorders,,Low - Can be evaluated at a routine check-up unless accompanied by other symptoms,Can affect all ages,"Keep a food diary, monitor portion sizes, schedule a doctor's appointment","Choose nutrient-dense foods, avoid excessive snacking",Blood glucose test,Thyroid function tests,Nutritional assessment,,Depends on underlying cause - may include diabetes or thyroid medications,,,,"Balanced diet with adequate fiber and protein, regular meals, stress management"
My feet feel numb or tingly,0.5,Diabetic neuropathy,Peripheral vascular disease,Vitamin B12 deficiency,,Moderate - Should be evaluated within a few weeks,More common in older adults and those with long-standing diabetes,"Inspect feet daily, wear comfortable shoes, schedule a doctor's appointment","Avoid walking barefoot, keep feet warm and dry",Nerve conduction studies,Blood glucose test,Vitamin B12 level test,,Gabapentin or pregabalin for neuropathy,Diabetes medications if diagnosed,,,"Blood sugar management, regular foot care, exercise, smoking cessation"
What are the risk factors for diabetes?,0.75,Type 1 diabetes,Type 2 diabetes,Gestational diabetes,,Low - Informational query,Varies by type of diabetes,"Assess personal risk factors, schedule a check-up if concerned","Maintain a healthy lifestyle, be aware of family history",Regular health screenings,Blood glucose testing,,,Not applicable unless diagnosed,,,,"Healthy diet, regular exercise, weight management, stress reduction"
How can I prevent diabetes?,0.8,Type 2 diabetes,Prediabetes,,,Low - Informational query,"Important for all ages, especially adults","Assess current lifestyle, set health goals",Be cautious of fad diets or extreme exercise regimens,Regular health check-ups,Blood glucose screening,,,Not applicable unless diagnosed with prediabetes or at high risk,,,,"Balanced diet, regular exercise, weight management, stress reduction, adequate sleep"
I'm experiencing frequent yeast infections,0.4,Diabetes,Compromised immune system,Hormonal imbalances,,Low to Moderate - Should be evaluated if persistent or recurrent,"More common in adult women, but can affect men and children","Practice good hygiene, avoid irritants, consult a healthcare provider","Wear breathable underwear, avoid douching",Blood glucose test,Cultures for yeast,Hormone level tests,,Antifungal medications,Diabetes medications if diagnosed,,,"Blood sugar management, proper hygiene, dietary changes to reduce sugar intake"
"My vision is getting worse, and I see dark spots",0.35,Diabetic retinopathy,Age-related macular degeneration,Other eye conditions,,High - Should be evaluated by an eye specialist within a few days,More common in older adults and those with long-standing diabetes,Schedule an urgent appointment with an ophthalmologist,"Avoid activities that may strain eyes, use caution while driving",Comprehensive eye exam,Retinal imaging,Blood glucose test,,Eye medications as prescribed,Diabetes medications if diagnosed,,,"Strict blood sugar control, regular eye exams, protective eyewear, smoking cessation"
I'm always tired and have no energy,0.7,Diabetes,Anemia,Thyroid disorders,Depression,Moderate - Should be evaluated within a few weeks,Can affect all age groups,"Keep a sleep and energy log, schedule a doctor's appointment","Avoid overexertion, ensure adequate rest",Blood glucose test,Complete blood count,Thyroid function tests,,Depends on underlying cause - may include diabetes or thyroid medications,,,,"Regular sleep schedule, balanced diet, regular exercise, stress management"
"I have dark patches on my skin, especially in skin folds",0.3,Acanthosis nigricans,Insulin resistance,Prediabetes or diabetes,,Low - Can be evaluated at a routine check-up,More common in overweight individuals and those with darker skin tones,Schedule a doctor's appointment for evaluation,"Maintain good skin hygiene, avoid harsh scrubbing",Blood glucose test,Insulin resistance test,Skin biopsy if necessary,,Diabetes medications if diagnosed,Topical treatments for skin,,,"Weight management, balanced diet, regular exercise, blood sugar control"
What's the difference between Type 1 and Type 2 diabetes?,0.65,Type 1 diabetes,Type 2 diabetes,,,Low - Informational query,"Type 1 often develops in children and young adults, Type 2 more common in adults","Educate yourself about both types, consult a healthcare provider if concerned",Be aware of symptoms for both types,Blood tests to determine type if diagnosed,,,,"Insulin for Type 1, various options for Type 2",,,,"Both types require blood sugar management, but specifics may differ"
Can diabetes be cured?,0.6,Type 1 diabetes,Type 2 diabetes,,,Low - Informational query,Relevant for all age groups with diabetes,"Continue current treatment plan, consult healthcare provider for management",Be wary of 'miracle cures' or unproven treatments,Ongoing management strategies,,,,Continue prescribed medications,,,,"Maintain healthy lifestyle, follow treatment plan, regular check-ups"
I'm pregnant and my doctor mentioned gestational diabetes,0.4,Gestational diabetes,,,,Moderate - Follow up with healthcare provider as directed,"Pregnant women, typically diagnosed in second or third trimester","Follow healthcare provider's instructions, monitor blood sugar if advised","Attend all prenatal appointments, follow recommended diet",Glucose tolerance test,Regular blood sugar monitoring,,,Insulin if necessary,,,,"Balanced diet, regular exercise as approved by healthcare provider, stress management"
How often should I check my blood sugar?,0.75,Diagnosed diabetes,Prediabetes,,,Low - Informational query,All ages with diabetes or at risk,Follow current recommendations from healthcare provider,Ensure proper technique for blood sugar checking,Regular blood glucose monitoring,,,,Continue prescribed medications,,,,"Consistent monitoring schedule, record keeping, adjusting diet and exercise as needed"
What foods should I avoid with diabetes?,0.8,Type 1 diabetes,Type 2 diabetes,Prediabetes,,Low - Informational query,All ages with diabetes or at risk,Consult with a registered dietitian for personalized advice,Be wary of extreme diets or eliminating entire food groups,Nutritional counseling,,,,Continue prescribed medications,,,,"Balanced diet, portion control, limiting processed and high-sugar foods"
I'm feeling shaky and sweaty,0.55,Hypoglycemia (low blood sugar),Anxiety,Other metabolic issues,,Moderate to High - Immediate action needed if diabetic,"Can affect all ages, common in people with diabetes","Check blood sugar if diabetic, consume fast-acting carbohydrates if low",Always carry glucose tablets or quick sugar source if diabetic,Blood glucose test,Evaluation for underlying causes,,,Adjust diabetes medications if necessary,,,,"Regular meals, balanced diet, proper medication management"
Can stress affect my blood sugar?,0.6,Diabetes affected by stress,General stress-related health issues,,,Low - Informational query,All ages,Monitor blood sugar levels during stressful periods,Be aware of stress triggers and symptoms,Stress management techniques,Regular blood sugar monitoring,,,"Continue prescribed medications, adjust as directed by healthcare provider",,,,"Stress reduction techniques, regular exercise, adequate sleep, balanced diet"
What are the long-term complications of diabetes?,0.7,Diabetic retinopathy,Nephropathy,Neuropathy,Cardiovascular disease,Low - Informational query,More common in those with long-standing or poorly controlled diabetes,"Maintain good blood sugar control, attend regular check-ups",Regular screenings for complications,Regular comprehensive check-ups,"Specialized tests for eyes, kidneys, and heart",,,"Continue prescribed medications, may need adjustments over time",,,,"Strict blood sugar control, healthy diet, regular exercise, no smoking"
Is diabetes genetic?,0.65,Type 1 diabetes,Type 2 diabetes,,,Low - Informational query,Relevant for all ages,Discuss family history with healthcare provider,Be aware of symptoms if you have a family history,Genetic counseling if concerned,,,,Not applicable unless diagnosed,,,,"Healthy lifestyle to reduce risk, especially for Type 2 diabetes"
Can I drink alcohol if I have diabetes?,0.55,Diabetes management concerns,,,,Low - Informational query,Adults with diabetes,Consult with healthcare provider for personalized advice,"Never drink on an empty stomach, be aware of hypoglycemia risk",Education on alcohol's effects on blood sugar,,,,Be aware of interactions with diabetes medications,,,,"Moderate alcohol consumption, if any, always with food"
How does exercise affect diabetes?,0.75,Type 1 diabetes,Type 2 diabetes,,,Low - Informational query,All ages with diabetes,"Start an exercise routine gradually, monitor blood sugar before and after","Carry fast-acting carbs during exercise, stay hydrated",Personalized exercise plan from healthcare provider,,,,May need adjustment around exercise times,,,,"Regular physical activity, proper pre- and post-exercise nutrition"
What is diabetic ketoacidosis?,0.4,Diabetic ketoacidosis (DKA),Uncontrolled diabetes,,,High - Medical emergency if suspected,"More common in Type 1 diabetes, can occur in severe Type 2",Seek immediate medical attention if symptoms present,Regular blood sugar and ketone monitoring for those at risk,Emergency medical treatment,IV fluids,Insulin therapy,,Insulin and other medications as prescribed by healthcare provider,,,,"Strict adherence to diabetes management plan, regular monitoring"
Can diabetes affect my mental health?,0.5,Depression,Anxiety,Diabetes distress,,Moderate - Should be addressed with healthcare provider,All ages with diabetes,"Discuss feelings with healthcare provider, seek mental health support",Be aware of signs of depression or anxiety,Mental health counseling,Support groups,,,Antidepressants or anti-anxiety medications if prescribed,,,,"Stress management techniques, regular exercise, adequate sleep"
What is the dawn phenomenon in diabetes?,0.35,Dawn phenomenon,Somogyi effect,,,Low - Discuss with healthcare provider at next appointment,Can affect all ages with diabetes,Monitor morning blood sugar levels,Be aware of nighttime low blood sugar,Adjustment of insulin or medication timing,,,,May need changes in dosage or timing of diabetes medications,,,,"Consistent bedtime routine, evening snack if recommended by provider"
How does diabetes affect pregnancy?,0.45,Pre-existing diabetes in pregnancy,Gestational diabetes,,,Moderate - Requires close monitoring throughout pregnancy,Women of childbearing age,Consult with healthcare provider before or as soon as pregnancy is confirmed,"Strict blood sugar control, regular prenatal check-ups",Frequent blood sugar monitoring,Specialized prenatal care,,,"Insulin is primary treatment, oral medications typically avoided",,,,"Balanced diet, approved exercise routine, stress management"
Can diabetes be reversed?,0.7,Type 2 diabetes,Prediabetes,,,Low - Informational query,Primarily adults with Type 2 diabetes or prediabetes,Consult with healthcare provider for personalized advice,Avoid unsupervised extreme diets or treatments,Lifestyle interventions,Bariatric surgery in some cases,,,Continue prescribed medications unless directed otherwise by healthcare provider,,,,"Significant diet changes, increased physical activity, weight loss if overweight"
What is the best diet for diabetes?,0.8,Type 1 diabetes,Type 2 diabetes,Prediabetes,,Low - Informational query,All ages with diabetes or at risk,Consult with a registered dietitian for personalized plan,Avoid fad diets or extreme eating patterns,Nutritional counseling,Diabetes education,,,"Continue prescribed medications, adjust as needed with diet changes",,,,"Balanced diet, portion control, consistent carbohydrate intake, whole foods"
How does diabetes affect the kidneys?,0.55,Diabetic nephropathy,Chronic kidney disease,,,Moderate - Requires regular monitoring,More common in those with long-standing or poorly controlled diabetes,Ensure regular kidney function tests as recommended by healthcare provider,Maintain good blood sugar and blood pressure control,Regular kidney function tests,Urine albumin tests,,,ACE inhibitors or ARBs often prescribed,Careful management of diabetes medications,,,"Low sodium diet, blood sugar control, blood pressure management, no smoking"
What is the A1C test?,0.75,Diabetes monitoring,Diabetes diagnosis,,,Low - Informational query,All ages with diabetes or at risk,Schedule regular A1C tests as recommended by healthcare provider,"Understand that A1C is an average, not daily fluctuations","Regular A1C testing, typically every 3-6 months",,,,Adjust diabetes medications based on A1C results if needed,,,,Lifestyle adjustments to improve A1C if needed
Can stress cause diabetes?,0.6,Type 2 diabetes risk,Stress-induced hyperglycemia,,,Low - Informational query,"All ages, but Type 2 diabetes risk increases with age",Practice stress management techniques,Be aware of other diabetes risk factors,Stress management education,Regular health check-ups,,,Not applicable unless diagnosed with diabetes,,,,"Stress reduction techniques, regular exercise, healthy diet, adequate sleep"
What is insulin resistance?,0.65,Prediabetes,Type 2 diabetes,Metabolic syndrome,,"Low - Informational query, but follow up with healthcare provider if concerned","More common in overweight adults, but can affect all ages",Schedule a check-up if you have risk factors,Be aware of symptoms of diabetes,Fasting insulin test,Glucose tolerance test,,,Metformin sometimes prescribed for prevention,,,,"Weight loss if overweight, increased physical activity, healthy diet"
How does diabetes affect the heart?,0.7,Cardiovascular disease,Coronary artery disease,Diabetic cardiomyopathy,,Moderate - Requires ongoing monitoring and management,Risk increases with age and duration of diabetes,Ensure regular cardiovascular check-ups,Monitor blood pressure and cholesterol levels,Regular cardiovascular screenings,Stress tests,Echocardiograms,,"Statins, blood pressure medications often prescribed",,,,"Heart-healthy diet, regular exercise, stress management, no smoking"
